"make","price","mileage","year","location","doors","color","model"
"Audi",49500,"192000 ",2015,"Al Najda Street, Abu Dhabi",4,"Grey","Q5"
"Mercedes-Benz",188000,"212000 ",2018,"Al Karamah, Abu Dhabi",4,"White","GLE Coupe"
"Bentley",3e+05,"42123 ",2015,"Al Muroor, Abu Dhabi",4,"Black","Continental Flying Spur"
"Mercedes-Benz",299999,"62776 ",2020,"Al Muroor, Abu Dhabi",5,"White","GLE-Class"
"Mercedes-Benz",68000,"173348 ",2015,"Al Muroor, Abu Dhabi",5,"White","A-Class"
"Chevrolet",135000,"74406 ",2020,"Al Muroor, Abu Dhabi",2,"White","Silverado"
"Skoda",99000,"2178 ",2021,"Al Muroor, Abu Dhabi",4,"Brown","Octavia"
"Mercedes-Benz",63375,"116657 ",2013,"Al Muroor, Abu Dhabi",4,"Red","CLS-Class"
"Audi",35000,"168857 ",2013,"Al Muroor, Abu Dhabi",4,"White","A4"
"Land Rover",168875,"137482 ",2016,"Zayed City (Khalifa City C), Abu Dhabi",5,"White","Range Rover"
"BMW",24500,"182628 ",2009,"Al Muroor, Abu Dhabi",5,"Red","X5"
"Nissan",39000,"23445 ",2021,"Al Muroor, Abu Dhabi",4,"White","Sunny"
"Land Rover",39999,"180589 ",2011,"Al Muroor, Abu Dhabi",5,"Black","Range Rover Sport"
"Ford",17000,"190699 ",2009,"Al Muroor, Abu Dhabi",5,"Brown","Explorer"
"Ford",19000,"178477 ",2012,"Al Muroor, Abu Dhabi",4,"Red","Fusion"
"Volkswagen",20000,"207815 ",2010,"Al Muroor, Abu Dhabi",5,"Red","Touareg"
"BMW",32500,"211207 ",2011,"Al Muroor, Abu Dhabi",4,"Black","5-Series"
"Mitsubishi",20000,"189862 ",2014,"Al Muroor, Abu Dhabi",4,"Silver","Lancer"
"Ford",38000,"202004 ",2014,"Al Muroor, Abu Dhabi",5,"Black","Explorer"
"BMW",27000,"122181 ",2009,"Al Muroor, Abu Dhabi",4,"Black","7-Series"
"Ford",212000,"65826 ",2018,"Al Muroor, Abu Dhabi",4,"White","F-Series Pickup"
"Mercedes-Benz",89000,"128280 ",2014,"Al Muroor, Abu Dhabi",5,"White","GL-Class"
"Dodge",39000,"209132 ",2014,"Al Muroor, Abu Dhabi",5,"Black","Durango"
"Hyundai",55000,"141699 ",2018,"Al Muroor, Abu Dhabi",5,"Silver","Tucson"
"Toyota",37000,"173125 ",2016,"Al Muroor, Abu Dhabi",4,"White","Corolla"
"Jeep",30000,"135379 ",2011,"Al Muroor, Abu Dhabi",5,"Blue","Grand Cherokee"
"Cadillac",480000,"235 ",2022,"Yas Island, Abu Dhabi",4,"White","CT5"
"Porsche",409000,"8904 ",2020,"Mussafah, Abu Dhabi",2,"White","718 Spyder"
"Porsche",459000,"4559 ",2022,"Mussafah, Abu Dhabi",4,"Blue","Taycan"
"Nissan",55000,"93000 ",2017,"Al Rawdah, Abu Dhabi",4,"Grey","Maxima"
"Toyota",44000,"284000 ",2008,"Khalifa City A, Abu Dhabi",5,"Burgundy","Prado"
"Lexus",160000,"7500 ",2019,"Abu Dhabi",4,"Red","LS-Series"
"Toyota",163000,"300000 ",2013,"Abu Dhabi",2,"White","FJ Cruiser"
"Ford",190000,"172000 ",2018,"Abu Dhabi Gate City (Officers City), Abu Dhabi",2,"Grey","F-Series Pickup"
"Smart",64000,"29500 ",2019,"Mohammed Bin Zayed City, Abu Dhabi",2,"Black","Other"
"Nissan",12800,"297858 ",2008,"Al Wahdah, Abu Dhabi",4,"Silver","Altima"
"Land Rover",125000,"164000 ",2014,"Abu Dhabi",4,"Grey","Range Rover"
"Nissan",35000,"110000 ",2014,"Mohammed Bin Zayed City, Abu Dhabi",5,"White","Pathfinder"
"Cadillac",34000,"110000 ",2013,"Al Najda Street, Abu Dhabi",4,"Black","ATS"
"Mercury",17000,"220000 ",2011,"Abu Dhabi",4,"Grey","Grand Marquis"
"Nissan",38000,"350000 ",1993,"Abu Dhabi",3,"Red","Patrol"
"Audi",162000,"88500 ",2016,"Al Reem Island, Abu Dhabi",5,"Grey","Q7"
"BMW",35000,"165100 ",2012,"Mohammed Bin Zayed City, Abu Dhabi",4,"Black","5-Series"
"Audi",49000,"95000 ",2013,"Mohammed Bin Zayed City, Abu Dhabi",5,"Blue","Q5"
"BMW",85000,"135000 ",2016,"Yas Island, Abu Dhabi",2,"Gold","4-Series"
"Land Rover",165000,"110000 ",2017,"Khalifa City A, Abu Dhabi",5,"Brown","Range Rover Sport"
"Land Rover",3e+05,"65000 ",2018,"Zayed City (Khalifa City C), Abu Dhabi",4,"Grey","Range Rover"
"Mercedes-Benz",119000,"159000 ",2016,"Al Shawamekh, Abu Dhabi",4,"White","GLE-Class"
"Toyota",30000,"100000 ",2016,"Al Najda Street, Abu Dhabi",4,"White","Yaris"
"Nissan",110000,"200000 ",2016,"Mohammed Bin Zayed City, Abu Dhabi",5,"White","Patrol"
"Audi",69000,"129000 ",2016,"Al Reem Island, Abu Dhabi",4,"Grey","A6"
"BMW",699000,"16000 ",2022,"Hamdan Street, Abu Dhabi",4,"Green","M5"
"BMW",46000,"145043 ",2011,"Mussafah, Abu Dhabi",4,"Burgundy","X6"
"Mercedes-Benz",41999,"180000 ",2013,"Al Raha Beach, Abu Dhabi",2,"White","E-Class"
"Mercedes-Benz",9e+05,"8000 ",2022,"Al Qurm, Abu Dhabi",4,"Blue","G-Class"
"Ford",48000,"157000 ",2015,"Al Maqtaa, Abu Dhabi",5,"White","Explorer"
"BMW",229000,"0 ",2022,"Zayed City (Khalifa City C), Abu Dhabi",4,"Grey","2-Series"
"GMC",22000,"140000 ",2012,"Abu Dhabi",5,"White","Acadia"
"Mitsubishi",24000,"161000 ",2016,"Al Mushrif, Abu Dhabi",4,"Grey","Lancer"
"Kia",149000,"0 ",2023,"Al Shawamekh, Abu Dhabi",4,"Red","Sorento"
"Mercedes-Benz",248000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"Black","CLA"
"Peugeot",21000,"145 ",2013,"Mohammed Bin Zayed City, Abu Dhabi",4,"White","508"
"Mitsubishi",60000,"51180 ",2019,"Abu Dhabi",4,"Blue","ASX"
"Mercedes-Benz",40000,"145169 ",2013,"Al Reem Island, Abu Dhabi",4,"White","C-Class"
"Toyota",30000,"160000 ",2016,"Abu Dhabi",4,"White","Yaris"
"Volkswagen",37000,"160000 ",2015,"Al Qurm, Abu Dhabi",4,"Blue","CC"
"Volkswagen",279900,"2200 ",2022,"Abu Dhabi",5,"White","Touareg"
"Jeep",60000,"128748 ",2015,"Corniche Area, Abu Dhabi",4,"Black","Grand Cherokee"
"Nissan",18000,"175433 ",2008,"Electra Street, Abu Dhabi",4,"Red","Qashqai"
"Toyota",45000,"317405 ",2008,"Abu Dhabi",4,"White","Tundra"
"Mercedes-Benz",85000,"118803 ",2016,"Al Muroor, Abu Dhabi",4,"White","CLA"
"Toyota",145000,"0 ",2023,"Al Shawamekh, Abu Dhabi",4,"White","Camry"
"Mercedes-Benz",143000,"100000 ",2015,"Al Shawamekh, Abu Dhabi",4,"White","S-Class"
"Mercedes-Benz",290000,"100000 ",2018,"Al Shawamekh, Abu Dhabi",4,"White","S-Class"
"Volkswagen",116000,"130000 ",2019,"Al Shawamekh, Abu Dhabi",4,"Blue","Golf R"
"Mercedes-Benz",158000,"160000 ",2019,"Al Shawamekh, Abu Dhabi",4,"White","C43"
"Kia",179000,"0 ",2023,"Al Shawamekh, Abu Dhabi",4,"White","Sorento"
"Nissan",39000,"96000 ",2016,"Madinat Zayed, Abu Dhabi",4,"White","Navara"
"Kia",91000,"3000 ",2022,"Abu Dhabi",5,"Black","Seltos"
"Mercedes-Benz",240000,"34000 ",2018,"Sheikh Khalifa Bin Zayed Street, Abu Dhabi",4,"White","GLS-Class"
"Mercedes-Benz",98000,"200000 ",2009,"Al Shawamekh, Abu Dhabi",4,"White","G-Class"
"Toyota",365000,"30000 ",2022,"Al Shamkha, Abu Dhabi",5,"White","Land Cruiser"
"Land Rover",32000,"220000 ",2011,"Tourist Club Area (TCA), Abu Dhabi",4,"White","Range Rover Sport"
"Porsche",13000,"260000 ",2006,"Al Shawamekh, Abu Dhabi",4,"Black","Cayenne"
"BMW",129000,"84500 ",2015,"Saadiyat Island, Abu Dhabi",2,"Silver","M4"
"Kia",45000,"140000 ",2015,"Khalifa City A, Abu Dhabi",4,"Blue","Sportage"
"Kia",24500,"180000 ",2015,"Khalifa City A, Abu Dhabi",4,"Brown","Rio"
"Audi",125000,"135000 ",2016,"Al Mina, Abu Dhabi",4,"Grey","Q7"
"Nissan",87000,"66000 ",2021,"Al Hosn, Abu Dhabi",4,"White","X-Trail"
"Nissan",15000,"178350 ",2014,"Abu Dhabi",4,"White","Sunny"
"Toyota",167500,"399000 ",1985,"Yas Island, Abu Dhabi",5,"Beige","Land Cruiser"
"Ford",55000,"206302 ",2016,"Al Muroor, Abu Dhabi",5,"Black","Expedition"
"Toyota",35000,"259000 ",2004,"Abu Dhabi",5,"White","Land Cruiser"
"BMW",239000,"27813 ",2023,"Mussafah, Abu Dhabi",4,"White","5-Series"
"Kia",40000,"59500 ",2018,"Abu Dhabi",4,"White","Rio"
"BMW",14500,"417738 ",2007,"Zayed City (Khalifa City C), Abu Dhabi",4,"White","5-Series"
"Mercedes-Benz",269000,"5000 ",2022,"Al Reem Island, Abu Dhabi",4,"Blue","C-Class"
"Chevrolet",98000,"100000 ",2017,"Abu Dhabi",2,"White","Camaro"
"Nissan",112000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","Altima"
"Toyota",124000,"0 ",2023,"Al Shawamekh, Abu Dhabi",4,"Grey","Camry"
"Nissan",236000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","Patrol"
"Nissan",353000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"Grey","Patrol"
"Nissan",16000,"197000 ",2009,"Madinat Zayed, Abu Dhabi",4,"Grey","Altima"
"Porsche",75000,"148000 ",2014,"Al Reem Island, Abu Dhabi",4,"White","Cayenne"
"BMW",117000,"155000 ",2016,"Abu Dhabi",4,"Gold","X6"
"Jeep",10000,"200000 ",2001,"Hydra Village, Abu Dhabi",5,"White","Cherokee"
"Lexus",225000,"53000 ",2022,"Al Maqtaa, Abu Dhabi",4,"White","ES-Series"
"Lexus",24000,"211500 ",2008,"Al Markaziya, Abu Dhabi",5,"Burgundy","RX-Series"
"BMW",132000,"189000 ",2016,"Al Mushrif, Abu Dhabi",4,"Grey","7-Series"
"Hyundai",99500,"39000 ",2021,"Al Reem Island, Abu Dhabi",5,"Red","Tucson"
"Nissan",35000,"53000 ",2016,"Corniche Area, Abu Dhabi",4,"Grey","Altima"
"Mercedes-Benz",215000,"105000 ",2016,"Abu Dhabi",2,"White","S-Class"
"Toyota",185000,"105333 ",2017,"Al Shawamekh, Abu Dhabi",5,"White","Land Cruiser"
"Renault",46000,"70119 ",2020,"Al Muroor, Abu Dhabi",4,"Beige","Megane"
"Audi",139000,"110000 ",2017,"Al Shawamekh, Abu Dhabi",4,"White","Q7"
"Dodge",132000,"98000 ",2019,"Al Shawamekh, Abu Dhabi",4,"Grey","Ram"
"Dodge",69000,"125000 ",2017,"Al Shawamekh, Abu Dhabi",2,"Blue","Ram"
"BMW",119000,"154000 ",2016,"Al Shawamekh, Abu Dhabi",4,"White","7-Series"
"Chevrolet",125000,"36000 ",2021,"Al Shawamekh, Abu Dhabi",2,"Black","Silverado"
"Mercedes-Benz",139000,"9000 ",2021,"Al Reem Island, Abu Dhabi",4,"White","GLB"
"BMW",67000,"193 ",2014,"Al Mushrif, Abu Dhabi",4,"Grey","7-Series"
"Nissan",359000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","Patrol"
"Cadillac",63000,"157000 ",2016,"Al Mushrif, Abu Dhabi",4,"Black","CTS/Catera"
"Toyota",111000,"0 ",2023,"Zayed City (Khalifa City C), Abu Dhabi",4,"Tan","Rav 4"
"Kia",78500,"79500 ",2020,"Al Reem Island, Abu Dhabi",5,"Grey","Seltos"
"Mitsubishi",39500,"117325 ",2017,"Zayed City (Khalifa City C), Abu Dhabi",4,"Silver","Lancer"
"Nissan",22500,"213000 ",2008,"Abu Dhabi",4,"Red","X-Trail"
"Porsche",409000,"6499 ",2020,"Mussafah, Abu Dhabi",2,"Silver","718 Spyder"
"Porsche",549000,"70314 ",2020,"Mussafah, Abu Dhabi",2,"Grey","Carrera / 911"
"Porsche",519000,"38569 ",2020,"Mussafah, Abu Dhabi",2,"Silver","Carrera / 911"
"Porsche",799000,"4313 ",2022,"Mussafah, Abu Dhabi",2,"White","Carrera / 911"
"Porsche",399000,"32871 ",2021,"Mussafah, Abu Dhabi",4,"Blue","Cayenne"
"Porsche",319000,"50672 ",2018,"Mussafah, Abu Dhabi",4,"Black","Cayenne"
"Porsche",419000,"10810 ",2020,"Mussafah, Abu Dhabi",2,"Red","Cayman"
"Porsche",399000,"36917 ",2021,"Mussafah, Abu Dhabi",4,"White","Cayenne"
"Porsche",509000,"14573 ",2021,"Mussafah, Abu Dhabi",4,"White","Cayenne"
"Infiniti",64000,"186383 ",2014,"Al Muroor, Abu Dhabi",5,"Silver","QX80"
"Mercedes-Benz",35000,"158558 ",2010,"Al Muroor, Abu Dhabi",5,"White","M-Class"
"Nissan",72000,"270000 ",2013,"Al Khalidiyah, Abu Dhabi",5,"Other Color","Patrol"
"Volkswagen",28000,"229197 ",2012,"Al Muroor, Abu Dhabi",5,"White","Touareg"
"Jaguar",164000,"72592 ",2019,"Al Muroor, Abu Dhabi",5,"Red","F-Pace"
"Jeep",77000,"154483 ",2015,"Yas Island, Abu Dhabi",3,"Black","Wrangler"
"Mercedes-Benz",55000,"159964 ",2012,"Al Muroor, Abu Dhabi",4,"White","S-Class"
"Aston Martin",118000,"109906 ",2010,"Al Muroor, Abu Dhabi",2,"White","Vantage"
"Honda",71000,"93662 ",2018,"Al Muroor, Abu Dhabi",5,"White","CR-V"
"MINI",112000,"71623 ",2020,"Al Muroor, Abu Dhabi",3,"Silver","Cooper"
"BMW",39999,"210671 ",2012,"Al Muroor, Abu Dhabi",5,"Brown","X5"
"Honda",72000,"20100 ",2019,"Al Muroor, Abu Dhabi",4,"Black","Civic"
"Land Rover",78000,"159589 ",2015,"Al Muroor, Abu Dhabi",5,"White","LR4"
"BMW",2e+05,"42800 ",2019,"Al Muroor, Abu Dhabi",2,"Blue","Z4"
"Mercedes-Benz",77000,"140785 ",2013,"Al Muroor, Abu Dhabi",5,"Grey","M-Class"
"Maserati",80000,"136351 ",2015,"Al Muroor, Abu Dhabi",4,"Blue","Ghibli"
"Land Rover",320000,"18853 ",2016,"Al Muroor, Abu Dhabi",3,"White","Defender"
"Hyundai",42000,"129470 ",2016,"Al Muroor, Abu Dhabi",5,"Brown","Santa Fe"
"Volkswagen",56900,"90000 ",2018,"Al Mushrif, Abu Dhabi",4,"Grey","Golf"
"Kia",90300,"0 ",2023,"Al Reem Island, Abu Dhabi",5,"Grey","Seltos"
"Toyota",105000,"0 ",2021,"Al Shawamekh, Abu Dhabi",4,"White","Hilux"
"Mercedes-Benz",450000,"160000 ",2011,"Abu Dhabi",3,"White","SLS"
"Honda",42000,"146000 ",2015,"Al Zahiyah, Abu Dhabi",4,"Grey","Civic"
"Lincoln",24000,"240 ",2010,"Zayed City (Khalifa City C), Abu Dhabi",4,"Gold","Town Car"
"BMW",115000,"144000 ",2017,"Al Shawamekh, Abu Dhabi",4,"Black","X4"
"BMW",329000,"54000 ",2019,"Al Shawamekh, Abu Dhabi",5,"Grey","X7"
"Nissan",11900,"435180 ",2008,"Mussafah, Abu Dhabi",4,"Gold","Tiida"
"Volkswagen",33000,"135000 ",2007,"Abu Dhabi",5,"Green","Multivan"
"Toyota",85000,"491922 ",2009,"Abu Dhabi",4,"Black","Land Cruiser"
"Mazda",67000,"80049 ",2018,"Mussafah, Abu Dhabi",4,"Blue","3"
"Infiniti",135000,"46399 ",2018,"Mussafah, Abu Dhabi",4,"Black","Q50"
"Nissan",105000,"99910 ",2021,"Mussafah, Abu Dhabi",5,"White","Xterra"
"Nissan",239000,"19300 ",2021,"Mussafah, Abu Dhabi",5,"White","Patrol"
"Toyota",225000,"67634 ",2020,"Mussafah, Abu Dhabi",5,"White","Land Cruiser"
"Nissan",118000,"113072 ",2019,"Zayed City (Khalifa City C), Abu Dhabi",5,"White","Pathfinder"
"Renault",89900,"36952 ",2019,"Mussafah, Abu Dhabi",5,"Grey","Koleos"
"Mazda",89900,"41633 ",2022,"Mussafah, Abu Dhabi",5,"Grey","6"
"Toyota",155000,"73234 ",2021,"Mussafah, Abu Dhabi",5,"White","Prado"
"Infiniti",249000,"38096 ",2020,"Mussafah, Abu Dhabi",5,"Blue","QX80"
"Toyota",155000,"73234 ",2020,"Mussafah, Abu Dhabi",5,"White","Prado"
"Nissan",219000,"40990 ",2020,"Mussafah, Abu Dhabi",5,"Black","Patrol"
"Volkswagen",115000,"107726 ",2019,"Mussafah, Abu Dhabi",5,"Black","GTI"
"Volkswagen",63000,"132428 ",2019,"Mussafah, Abu Dhabi",5,"Grey","Golf"
"Audi",159000,"98245 ",2020,"Mussafah, Abu Dhabi",5,"White","A6"
"BMW",185000,"110000 ",2018,"Mussafah, Abu Dhabi",5,"Grey","X5"
"Mitsubishi",89000,"63000 ",2020,"Mussafah, Abu Dhabi",5,"Black","Pajero"
"Nissan",30000,"120000 ",1990,"Al Shawamekh, Abu Dhabi",4,"Burgundy","Patrol"
"Infiniti",35000,"152000 ",2009,"Abu Dhabi",4,"Black","FX45/FX35"
"Volkswagen",79000,"138000 ",2018,"Al Reem Island, Abu Dhabi",4,"Black","Tiguan"
"Jaguar",59500,"119536 ",2015,"Al Mushrif, Abu Dhabi",4,"Red","XF"
"Ford",45000,"84000 ",2013,"Al Reem Island, Abu Dhabi",5,"Blue","Edge"
"Rolls Royce",699000,"13300 ",2015,"Khalifa City A, Abu Dhabi",2,"Other Color","Wraith"
"Ford",25000,"86434 ",2014,"Al Muroor, Abu Dhabi",4,"White","Focus"
"Kia",29000,"116000 ",2016,"Al Mushrif, Abu Dhabi",4,"Black","Optima"
"Jaguar",115000,"116436 ",2019,"Al Muroor, Abu Dhabi",5,"Blue","E-Pace"
"MINI",129000,"5362 ",2022,"Al Muroor, Abu Dhabi",5,"White","Cooper"
"Dodge",175000,"48000 ",2020,"Khalifa City A, Abu Dhabi",4,"Black","Ram"
"Toyota",65000,"7000 ",2023,"Mussafah, Abu Dhabi",5,"White","Rush"
"Toyota",79999,"88849 ",2017,"Al Muroor, Abu Dhabi",5,"Grey","Fortuner"
"Nissan",68000,"214000 ",2014,"Saadiyat Island, Abu Dhabi",5,"Grey","Patrol"
"Peugeot",59500,"66400 ",2015,"Al Reem Island, Abu Dhabi",2,"Black","RCZ"
"Hyundai",105000,"22000 ",2021,"Al Reem Island, Abu Dhabi",5,"Brown","Tucson"
"Aston Martin",330000,"57397 ",2018,"Al Muroor, Abu Dhabi",4,"Silver","Rapide"
"Kia",107000,"18000 ",2021,"Al Reem Island, Abu Dhabi",5,"White","Sportage"
"Hyundai",96500,"49000 ",2021,"Abu Dhabi",4,"Grey","Tucson"
"Ford",245000,"84000 ",2020,"Al Shawamekh, Abu Dhabi",2,"Black","F-Series Pickup"
"Mercedes-Benz",349000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","GLC"
"Mercedes-Benz",269000,"78000 ",2019,"Al Shawamekh, Abu Dhabi",4,"White","GLE Coupe"
"Honda",86500,"96000 ",2018,"Al Shawamekh, Abu Dhabi",4,"White","CR-V"
"Mercedes-Benz",187500,"38000 ",2019,"Al Shawamekh, Abu Dhabi",4,"Silver","E-Class"
"Ford",439000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"Black","F-Series Pickup"
"Toyota",73000,"162000 ",2013,"Al Qurm, Abu Dhabi",3,"White","FJ Cruiser"
"Nissan",183000,"65000 ",2021,"Al Shawamekh, Abu Dhabi",4,"White","Patrol"
"Nissan",85000,"108000 ",2020,"Al Shawamekh, Abu Dhabi",4,"White","Maxima"
"Infiniti",70000,"130000 ",2017,"Mussafah, Abu Dhabi",5,"White","QX60"
"Volkswagen",37000,"124000 ",2015,"Zayed City (Khalifa City C), Abu Dhabi",4,"Black","Passat"
"Ford",42000,"108864 ",2013,"Al Muroor, Abu Dhabi",5,"Black","Edge"
"Nissan",286600,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","Patrol"
"Nissan",257500,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"Black","Patrol"
"Nissan",106700,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"Black","Altima"
"Nissan",106700,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","Altima"
"Toyota",113000,"0 ",2023,"Al Shawamekh, Abu Dhabi",4,"White","Camry"
"Nissan",153400,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"Silver","Patrol"
"Volkswagen",45000,"95000 ",2016,"Madinat Zayed, Abu Dhabi",4,"Silver","Passat"
"Ford",57000,"67413 ",2015,"Al Muroor, Abu Dhabi",4,"White","Taurus"
"Nissan",173700,"131901 ",2019,"Al Muroor, Abu Dhabi",5,"Grey","Patrol"
"Mercedes-Benz",105000,"101882 ",2018,"Al Muroor, Abu Dhabi",5,"White","GLA"
"BMW",159999,"51052 ",2017,"Al Muroor, Abu Dhabi",4,"Silver","5-Series"
"Honda",105000,"21441 ",2021,"Al Muroor, Abu Dhabi",4,"Red","Accord"
"Dodge",52000,"134820 ",2014,"Al Muroor, Abu Dhabi",4,"Red","Charger"
"Nissan",145000,"64852 ",2021,"Abu Dhabi Gate City (Officers City), Abu Dhabi",5,"Black","Patrol"
"Suzuki",29999,"139975 ",2015,"Al Muroor, Abu Dhabi",5,"Silver","Grand Vitara"
"Kia",28000,"114386 ",2012,"Al Muroor, Abu Dhabi",5,"Silver","Sportage"
"Volkswagen",34000,"191002 ",2015,"Al Muroor, Abu Dhabi",5,"Grey","Tiguan"
"BMW",136000,"141829 ",2016,"Al Muroor, Abu Dhabi",4,"Black","7-Series"
"Volkswagen",30000,"192061 ",2013,"Al Muroor, Abu Dhabi",5,"Grey","Tiguan"
"Infiniti",85000,"48366 ",2018,"Al Muroor, Abu Dhabi",5,"Grey","QX30"
"Mazda",37000,"108600 ",2014,"Al Muroor, Abu Dhabi",2,"White","MX-5"
"Mercedes-Benz",185000,"49193 ",2020,"Al Muroor, Abu Dhabi",4,"Black","C-Class"
"Land Rover",54000,"145022 ",2013,"Al Muroor, Abu Dhabi",5,"White","Range Rover Evoque"
"Mercedes-Benz",229999,"58391 ",2018,"Al Muroor, Abu Dhabi",5,"Black","GLS-Class"
"BMW",149000,"61993 ",2017,"Al Maryah Island, Abu Dhabi",4,"Blue","5-Series"
"Chevrolet",86000,"84491 ",2020,"Zayed City (Khalifa City C), Abu Dhabi",5,"Black","Blazer"
"MINI",105000,"55361 ",2018,"Al Muroor, Abu Dhabi",5,"Blue","Countryman"
"Suzuki",48000,"63200 ",2018,"Al Muroor, Abu Dhabi",3,"Green","Jimny"
"BMW",59000,"134488 ",2014,"Al Muroor, Abu Dhabi",4,"White","7-Series"
"Mazda",45000,"125674 ",2016,"Al Muroor, Abu Dhabi",5,"Grey","CX-5"
"Nissan",2e+05,"90553 ",2021,"Al Muroor, Abu Dhabi",5,"Black","Patrol"
"Infiniti",98000,"30000 ",2019,"Al Raha Beach, Abu Dhabi",4,"Black","Q30"
"Mitsubishi",67000,"125000 ",2016,"Mohammed Bin Zayed City, Abu Dhabi",2,"White","Canter"
"Mercedes-Benz",110000,"77000 ",2009,"Abu Dhabi",2,"Grey","SL-Class"
"Bentley",240000,"87200 ",2014,"Abu Dhabi",4,"Brown","Continental Flying Spur"
"Lexus",10000,"292572 ",1995,"Abu Dhabi",4,"Black","LS-Series"
"Chrysler",17000,"220000 ",2007,"Mohammed Bin Zayed City, Abu Dhabi",4,"Black","Voyager/Caravan"
"Kia",67000,"185000 ",2018,"Al Reem Island, Abu Dhabi",4,"White","Sportage"
"Ford",26000,"122000 ",2010,"Abu Dhabi",4,"Grey","Taurus"
"Toyota",37500,"105000 ",2014,"Al Reem Island, Abu Dhabi",2,"Silver","86"
"Mercedes-Benz",69000,"117000 ",2012,"Al Khalidiyah, Abu Dhabi",4,"Grey","CLS-Class"
"Porsche",77000,"177000 ",2014,"Al Mushrif, Abu Dhabi",4,"Black","Cayenne"
"Audi",285000,"97000 ",2016,"Mohammed Bin Zayed City, Abu Dhabi",5,"Grey","S6/RS6"
"GMC",155000,"53000 ",2021,"Zayed City (Khalifa City C), Abu Dhabi",4,"Blue","Sierra"
"Chevrolet",68000,"290000 ",2015,"Abu Dhabi",2,"Black","Silverado"
"Kia",32000,"54500 ",2016,"Al Markaziya, Abu Dhabi",4,"White","Optima"
"Nissan",213000,"43000 ",2021,"Al Shawamekh, Abu Dhabi",5,"White","Patrol"
"Skoda",105000,"23410 ",2022,"Al Muroor, Abu Dhabi",5,"Grey","Karoq"
"Toyota",70000,"36000 ",2021,"Al Qurm, Abu Dhabi",4,"Blue","Camry"
"Rolls Royce",2500000,"1200 ",2017,"Al Shawamekh, Abu Dhabi",2,"Other Color","Phantom"
"Rolls Royce",2490000,"17000 ",2017,"Al Shawamekh, Abu Dhabi",2,"White","Ghost"
"Mercedes-Benz",34000,"117600 ",2009,"Abu Dhabi",2,"White","CL-Class"
"BMW",220000,"7430 ",2023,"Baniyas, Abu Dhabi",4,"Grey","5-Series"
"MINI",36000,"170496 ",2013,"Eastern Road, Abu Dhabi",4,"White","Cooper"
"Land Rover",150000,"120000 ",2016,"Yas Island, Abu Dhabi",4,"Blue","Range Rover Sport"
"Kia",49900,"75000 ",2015,"Al Khubeirah, Abu Dhabi",4,"Silver","Sportage"
"Toyota",20000,"298000 ",2010,"Hadbat Al Zaafran, Abu Dhabi",4,"Black","Camry"
"Volkswagen",59000,"59500 ",2016,"Al Raha Gardens, Abu Dhabi",4,"White","Tiguan"
"Ford",85000,"53000 ",2000,"Abu Dhabi",2,"Yellow","Mustang"
"Volkswagen",27000,"100000 ",2013,"Tourist Club Area (TCA), Abu Dhabi",4,"Grey","Jetta"
"Toyota",29000,"262000 ",2014,"Airport Street, Abu Dhabi",4,"Black","Corolla"
"Toyota",37000,"145000 ",2013,"Khalifa City A, Abu Dhabi",4,"Black","Aurion"
"Audi",329000,"32000 ",2022,"Zayed City (Khalifa City C), Abu Dhabi",4,"Black","A7"
"BMW",265000,"0 ",2023,"Al Shawamekh, Abu Dhabi",4,"Blue","4-Series"
"BMW",285000,"0 ",2023,"Al Shawamekh, Abu Dhabi",4,"Black","5-Series"
"BMW",48000,"186077 ",2016,"Al Muroor, Abu Dhabi",4,"Blue","3-Series"
"Land Rover",170000,"156693 ",2016,"Al Muroor, Abu Dhabi",5,"Other Color","Range Rover"
"Cadillac",49999,"97162 ",2015,"Al Muroor, Abu Dhabi",5,"Brown","SRX"
"Mercedes-Benz",149999,"120405 ",2017,"Al Muroor, Abu Dhabi",5,"Blue","GLC"
"Porsche",170000,"50039 ",2015,"Al Muroor, Abu Dhabi",2,"Red","Cayman"
"Ford",133000,"56842 ",2018,"Al Muroor, Abu Dhabi",5,"White","Expedition"
"Nissan",42000,"146298 ",2015,"Al Muroor, Abu Dhabi",5,"White","Pathfinder"
"Tesla",199999,"84797 ",2021,"Al Muroor, Abu Dhabi",4,"Grey","Model 3"
"Ford",24000,"206000 ",2012,"Abu Dhabi",4,"White","Taurus"
"Mercedes-Benz",97000,"101000 ",2016,"Al Reem Island, Abu Dhabi",4,"Black","C-Class"
"Lotus",265000,"11500 ",2016,"Al Matar, Abu Dhabi",2,"White","Exige"
