"make","price","mileage","year","location","doors","color","model"
"Toyota",3e+05,"0 ",2022,"Al Shamkha, Abu Dhabi",4,"White","Land Cruiser"
"Toyota",78000,"167000 ",2015,"Al Shamkha South, Abu Dhabi",4,"White","Tundra"
"Mercedes-Benz",207000,"100000 ",2020,"Al Shawamekh, Abu Dhabi",2,"White","E-Class Coupe"
"Jeep",157999,"113237 ",2020,"Al Muroor, Abu Dhabi",5,"Grey","Wrangler Unlimited"
"Infiniti",40000,"164585 ",2015,"Al Muroor, Abu Dhabi",2,"White","Q60"
"Audi",241250,"59864 ",2019,"Al Muroor, Abu Dhabi",4,"White","A8"
"Jeep",49500,"196081 ",2014,"Al Muroor, Abu Dhabi",5,"Blue","Grand Cherokee"
"Dodge",33000,"82139 ",2012,"Al Muroor, Abu Dhabi",5,"Black","Durango"
"Lexus",157000,"179134 ",2015,"Al Muroor, Abu Dhabi",5,"White","LX-Series"
"Toyota",75000,"194722 ",2013,"Al Muroor, Abu Dhabi",5,"Silver","Prado"
"Mercedes-Benz",40000,"162289 ",2013,"Al Muroor, Abu Dhabi",4,"Silver","C-Class"
"Infiniti",90000,"115626 ",2016,"Al Muroor, Abu Dhabi",5,"White","QX70"
"Mitsubishi",65000,"127420 ",2018,"Al Muroor, Abu Dhabi",5,"Grey","Pajero"
"Cadillac",140000,"24154 ",2020,"Corniche Area, Abu Dhabi",4,"Black","CT4"
"Mercedes-Benz",344640,"17661 ",2021,"Al Muroor, Abu Dhabi",5,"White","GLE-Class"
"Audi",45000,"204651 ",2015,"Al Muroor, Abu Dhabi",4,"Black","A6"
"Lincoln",50500,"100695 ",2014,"Al Muroor, Abu Dhabi",5,"Silver","MKX"
"BMW",170000,"61543 ",2018,"Al Muroor, Abu Dhabi",4,"White","6-Series"
"Nissan",215000,"85633 ",2020,"Al Muroor, Abu Dhabi",5,"White","Patrol"
"Jeep",67000,"117238 ",2015,"Al Muroor, Abu Dhabi",5,"Grey","Grand Cherokee"
"Porsche",315000,"70773 ",2019,"Al Muroor, Abu Dhabi",5,"Blue","Cayenne"
"Land Rover",188000,"153358 ",2018,"Al Muroor, Abu Dhabi",5,"White","Range Rover Velar"
"Mercedes-Benz",415000,"22692 ",2020,"Al Muroor, Abu Dhabi",4,"White","S-Class"
"Kia",42000,"140000 ",2017,"Al Shamkha South, Abu Dhabi",4,"White","Sorento"
"Infiniti",145000,"48000 ",2019,"Corniche Area, Abu Dhabi",4,"White","QX50"
"Kia",62500,"77000 ",2020,"Mohammed Bin Zayed City, Abu Dhabi",4,"Silver","Optima"
